CODGEO,LIBGEO,REG,DEP,E14TST,E14TS0ND,E14TS1,E14TS6,E14TS10,E14TS20,E14TS50,E14TS100,E14TS200,E14TS500
01098,Chazey-Bons,82,01,65,32,18,6,3,5,1,0,0,0
01099,Chazey-sur-Ain,82,01,91,60,27,3,0,1,0,0,0,0
01100,Cheignieu-la-Balme,82,01,7,6,1,0,0,0,0,0,0,0
01101,Chevillard,82,01,5,4,1,0,0,0,0,0,0,0
01102,Chevroux,82,01,32,22,6,1,2,1,0,0,0,0
01103,Chevry,82,01,22,18,3,0,1,0,0,0,0,0
01104,Chézery-Forens,82,01,23,11,11,0,1,0,0,0,0,0
01105,Civrieux,82,01,103,73,23,2,2,2,1,0,0,0
01106,Cize,82,01,7,6,1,0,0,0,0,0,0,0
01107,Cleyzieu,82,01,3,3,0,0,0,0,0,0,0,0
01108,Coligny,82,01,76,50,20,4,2,0,0,0,0,0
01109,Collonges,82,01,75,59,13,2,1,0,0,0,0,0
01110,Colomieu,82,01,9,6,3,0,0,0,0,0,0,0
01111,Conand,82,01,4,3,1,0,0,0,0,0,0,0
01112,Condamine,82,01,20,14,4,2,0,0,0,0,0,0
01113,Condeissiat,82,01,35,24,7,3,1,0,0,0,0,0
01114,Confort,82,01,23,16,5,0,0,0,2,0,0,0
01115,Confrançon,82,01,56,37,12,4,2,1,0,0,0,0
01116,Contrevoz,82,01,19,15,4,0,0,0,0,0,0,0
01117,Conzieu,82,01,4,4,0,0,0,0,0,0,0,0
01118,Corbonod,82,01,52,40,7,2,2,0,0,1,0,0
01119,Corcelles,82,01,6,5,1,0,0,0,0,0,0,0
01121,Corlier,82,01,6,5,0,1,0,0,0,0,0,0
01122,Cormaranche-en-Bugey,82,01,38,28,7,1,1,1,0,0,0,0
01123,Cormoranche-sur-Saône,82,01,42,32,7,0,0,2,1,0,0,0
01124,Cormoz,82,01,28,19,9,0,0,0,0,0,0,0
01125,Corveissiat,82,01,26,16,6,0,1,3,0,0,0,0
01127,Courmangoux,82,01,24,21,3,0,0,0,0,0,0,0
